Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD
2362,2015-10-26,Netmeds.Com,Online Pharmacy,Unknown,Chennai,"Orbimed, Pradip Dadha Group",Private Equity,50000000.0
2363,2015-10-26,Razorpay,Online Payment Gateway,Unknown,Jaipur,"Tiger Global Management, Matrix Partners",Private Equity,9000000.0
2365,2015-10-27,Happitoo,Location Based Nightlife Recommendation\\Xc2\\Xa0 Platform,Unknown,Mumbai,Unnamed Investor,Seed Funding,77000.0
2366,2015-10-27,Care24,Professional Health Services Platform,Unknown,Mumbai,India Quotient,Seed Funding,350000.0
2367,2015-10-27,Roadrunnr,Hyperlocal Logistics Service,Unknown,Bangalore,"Sequoia Capital, Nexus Venture Partners",Private Equity,10000000.0
2369,2015-10-28,Origa Leasing,Asset Financing Platform,Unknown,Mumbai,"Ah! Ventures, 500 Startups & Other Hnis",Seed Funding,1100000.0
2370,2015-10-28,Smartivity.In,Virtual Reality Activity Based Learning Platform,Unknown,New Delhi,S Chand And Co Pvt Ltd,Seed Funding,200000.0
2374,2015-10-29,Zophop,Public Commute Helper App,Unknown,Mumbai,"Amit Singhal, Pk Gulati & Others",Seed Funding,450000.0
2377,2015-10-30,Lifto,Ridesharing Mobile App,Unknown,Mumbai,"Rajesh Bhatia, Dheeraj Mehta & Others",Seed Funding,130000.0
2378,2015-10-30,Tinyowl,Food Discovery & Delivery Mobile App,Unknown,Mumbai,"Sequoia Capital, Matrix Partners",Private Equity,7500000.0
2379,2015-10-30,Toppr.Com,Competitive Exam Learning Platform,Unknown,Mumbai,Innoven Capital,Private Equity,2000000.0
2380,2015-10-30,Kleeto,Document Digitization Platform,Unknown,Gurgaon,Grex,Seed Funding,230000.0
2381,2015-10-30,Beaconstalk,Proximity Marketing & Mobile Advertising Platform,Unknown,Mumbai,Puneet Bhatia & Others,Seed Funding,80000.0
2382,2015-10-31,Jugnoo,Autorickshaw Aggregator & Booking Platform,Unknown,Chandigarh,Paytm,Private Equity,10000000.0
2383,2015-09-01,Toflo,Fintech Startup Incubation Platform,Unknown,Mumbai,Tania Johny Palathinkal,Seed Funding,100000.0
2385,2015-09-01,Stylecracker,Personalized Styling Platform,Unknown,Mumbai,Group Of Hni Investors,Private Equity,1000000.0
2386,2015-09-01,Luxuryhues,Luxury Goods\\Xc2\\Xa0 Shopping Platform,Unknown,Gurgaon,Reliance Capital,Private Equity,900000.0
2388,2015-09-02,Zivame,Online Lingerie Marketplace,Unknown,Bangalore,"Zodius Technology Fund, Khazanah Nasional Berhad",Private Equity,40000000.0
2389,2015-09-02,Capillary Tech,Cloud Software Solutions,Unknown,New Delhi,"Warburg Pincus, Sequoia Capital, Norwest Venture Partners",Private Equity,45000000.0
2390,2015-09-03,Jobspire,Job Search Platform,Unknown,Bangalore,Purvi Capital,Seed Funding,260000.0
2392,2015-09-03,Vistaar Finance,Small Business Financing (Nbfc),Unknown,Bangalore,"Westbridge Capital, Omidyar Network, Elevar Equity, Saama Capital,\\Xc2\\Xa0 Lok Capital",Private Equity,40000000.0
2394,2015-09-04,Clapsnslaps,Online Movie Review Platform,Unknown,Mumbai,R M Picture Company Pvt. Ltd.,Seed Funding,150000.0
2395,2015-09-04,Blubox,Ecommerce Brands\\Xe2\\X80\\X99 Full Service Agency,Unknown,Mumbai,Ashish Jhalani,Seed Funding,100000.0
2396,2015-09-04,Roomcentral,Cloud-Based Hotel Booking Platform,Unknown,Bangalore,Karanpal Singh,Seed Funding,2000000.0
2397,2015-09-07,Youthkiawaaz,Community Driven News/Views Platform,Unknown,New Delhi,"Raghav Bahl, Ritu Kapur",Seed Funding,600000.0
2398,2015-09-07,Prozo,Study Material Marketplace,Unknown,New Delhi,"Nalin Jain, Shomil Pant, Dinesh Kundu & Others",Seed Funding,205000.0
2399,2015-09-07,Zomato,Restaurant Ratings & Reviews Platform,Unknown,Gurgaon,"Temasek, Vy Capital",Private Equity,60000000.0
2400,2015-09-07,Sahayog Dairy,Dairy Based Product Manufacturer,Unknown,Bhopal,Acumen Fund,Private Equity,1800000.0
2401,2015-09-08,Mockbank,Government Test Preparation Platform,Unknown,Bangalore,Blume Ventures,Seed Funding,400000.0
2404,2015-09-10,Onlinetyari,Multilingual Test Preparation Platform,Unknown,Gurgaon,"500 Startups, Tv Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",Private Equity,770000.0
2405,2015-09-10,Industrybuying,Industrial Tools Marketplace,Unknown,New Delhi,"Kalaari Capital, Saif Partners, Beenextan Investment Fund",Private Equity,9200000.0
2406,2015-09-10,The/Nudge Foundation,Non Profit Organization To Alleviate Poverty,Unknown,Bangalore,"Nanadan Nilekani, Inmobi, Paytm",Seed Funding,315000.0
2407,2015-09-11,Fitmein,Gym & Fitness Studios Subscription Platform,Unknown,New Delhi,Green House Ventures,Seed Funding,100000.0
2409,2015-09-11,Zapyle,Pre-Used Apparel Shopping Mobile App,Unknown,Bangalore,Unknown,Seed Funding,1000000.0
2411,2015-09-12,Credr,Used Vehicles Marketplace,Unknown,Mumbai,Eight Road Ventures,Private Equity,15000000.0
2413,2015-09-14,Canvasflip,Mobile App Testing Platform,Unknown,Hyderabad,Bessemer Venture Partners,Seed Funding,1200000.0
2414,2015-09-14,Shadowfax,Hyperlocal Delivery Services,Unknown,Gurgaon,Eight Roads Ventures,Private Equity,9000000.0
2415,2015-09-14,Ue Life Sciences,Early Cancer Detection Solutions,Unknown,Us/India,"Aarin Capital, Unitus Seed Fund",Private Equity,3000000.0
2416,2015-09-14,Ola Cabs,Cab Rental Mobile App,Unknown,Bangalore,"Falcon Edge Capital, Ny Based Hedge Fund, Tiger Global, Softbank",Private Equity,225000000.0
2417,2015-09-15,Coverfox,Online Insurance Distribution Platform,Unknown,Mumbai,Cataraman Ventures,Private Equity,2000000.0
2418,2015-09-15,Moengage,Mobile Marketing Automation Platform,Unknown,Bangalore,"Helion Venture Partners, Exfinity Ventures",Private Equity,4250000.0
2420,2015-09-15,Tea Trails,Chain Of Tea Caf\\Xc3\\Xa9\\Xe2\\X80\\X99S,Unknown,Mumbai,"Anil Matai, Vikram Tandon, Shyam Sundar R & Others",Seed Funding,1000000.0
2421,2015-09-15,Room On Call,Branded Budget Hotel Marketplace,Unknown,Noida,Payal Syal,Seed Funding,300000.0
2423,2015-09-16,Chaipoint,Food Subscription Platform,Unknown,Bangalore,Eight Roads Ventures,Private Equity,10000000.0
2424,2015-09-16,Wedmegood.Com,Wedding Planning Platform,Unknown,Gurgaon,Indian Angel Network,Seed Funding,410000.0
2425,2015-09-16,Xstok,B2B Mobile Auction Marketplace,Unknown,Mumbai,Oliphans Capital,Seed Funding,450000.0
2428,2015-09-17,Yepme,Private Label Fashion Etailer,Unknown,Gurgaon,"Khazanah Nasional Berhad, Helion Venture Partners",Private Equity,75000000.0
2429,2015-09-17,Bueno,Online Food Ordering & Delivery,Unknown,Gurgaon,High Networth Individuals (No Details),Seed Funding,600000.0
2430,2015-09-18,Plabro,Real Estate Broker Platform App,Unknown,New Delhi,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh",Seed Funding,350000.0
2431,2015-09-18,Curejoy,Online Health & Wellness Platform,Unknown,Bangalore,"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna",Private Equity,1150000.0
2432,2015-09-18,Briston Technomach,Internet Of Things Platform,Unknown,New Delhi,Undisclosed,Seed Funding,150000.0
2433,2015-09-18,Labstreet,Diagnostic Labs Aggregator Platform,Unknown,Gurgaon,Multiple Investors,Seed Funding,150000.0
2435,2015-09-21,Portea Medical,Home Medical Care Services,Unknown,Bangalore,"Accel Partners, International Finance Corporation (Ifc), Qualcomm Ventures, Ventureast",Private Equity,37500000.0
2436,2015-09-21,Neotrade Analytics,Real-Time Stock Data Platform,Unknown,Bangalore,Rainmatter,Seed Funding,235000.0
2438,2015-09-21,Lafalafa,Coupons And Cashback Aggregator App,Unknown,Mumbai,500 Startups,Seed Funding,125000.0
2441,2015-09-22,Bestdealfinance,Financial Services Portal,Unknown,Mumbai,"Kalaari Capital, Yournest Angel Fund",Private Equity,3000000.0
2444,2015-09-22,Virtual Logic,"Virtual Reality, 3D Simulation And Stereoscopic Products",Unknown,Bangalore,Swarnim Multiventures,Private Equity,800000.0
2445,2015-09-22,Furdo,Online Interior Designing Platform,Unknown,Bangalore,Bhavdeep Reddy,Seed Funding,400000.0
2446,2015-09-22,Loginext,End-To-End Logistics Platform,Unknown,Mumbai,Paytm,Private Equity,10000000.0
2447,2015-09-22,Korra,Private Label Apparel Sales,Unknown,New Delhi,Asha Jadeja Motwani & Others,Seed Funding,300000.0
2450,2015-09-23,Silverpush,Cross-Device Retargeting Platform,Unknown,Gurgaon / Sfo,M&S Partners,Private Equity,1200000.0
2451,2015-09-23,Juggernaut,Digital & Physical Publishing Platform,Unknown,New Delhi,"William Bissell, Neeraj Aggarwal, Nandan Nilekani",Private Equity,2250000.0
2452,2015-09-23,Innerchef,Food Delivery Platform,Unknown,New Delhi,"Phanindra Sama, Anupam Mittal, Vijay Shekhar Sharma, Vishal Gondal, Sateesh Andara & Others",Private Equity,1750000.0
2453,2015-09-24,Quintype,Data Driven Publishing Platform,Unknown,Bangalore,Raghav Bahl,Private Equity,3300000.0
2454,2015-09-24,Capabiliti,Employee Onboarding & Orientation Platform,Unknown,Noida,"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham",Seed Funding,400000.0
2455,2015-09-24,Fourth Partner Energy,Solar Power Solutions Company,Unknown,Hyderabad,"Infuse Ventures, The Chennai Angels",Private Equity,2000000.0
2456,2015-09-24,Licious,Online Meat Ordering Platform,Unknown,Bangalore,"Kanwaljit Singh, Tv Mohandas Pai",Seed Funding,1000000.0
2459,2015-09-28,Ola Cabs,Cab Booking App Platform,Unknown,Bangalore,Didi Kuaidi,Private Equity,30000000.0
2460,2015-09-29,Paytm,E-Commerce & M-Commerce Platform,Unknown,New Delhi,"Alibaba Group, Ant Financial",Private Equity,680000000.0
2461,2015-09-29,Inmobi,Mobile Advertising Platform,Unknown,Bangalore,Tennenbaum Capital Partners & Others,Private Equity,100000000.0
2462,2015-09-29,Peppertap,Hyperlocal Grocery Delivery,Unknown,Gurgaon,"Sequoia India, Saif Partners.",Private Equity,36000000.0
2465,2015-09-29,Zakoopi,Fashion Discovery Platform,Unknown,New Delhi,Uniqorn Ventures,Seed Funding,350000.0
2467,2015-09-30,Infoworks,Big Data Management Platform,Unknown,Bangalore / Usa,"Nexus Venture Partners, Knoll Ventures And Others",Private Equity,5000000.0
2468,2015-09-30,Reddoorz,Budget Accommodation Platform,Unknown,Noida,Jungle Ventures,Seed Funding,1000000.0
2470,2015-09-30,Eywa Media,Digital Signal Processing Platform,Unknown,Bangalore,"Ah! Ventures, Viktor Koenig Pe Fund, Mantra Ventures",Seed Funding,1000000.0
2471,2015-08-01,Snapdeal,Ecommerce Marketplace,Unknown,New Delhi,"Alibaba, Foxconn, Softbank",Private Equity,500000000.0
2472,2015-08-01,Ressy,Restaurant Discount App,Unknown,Pune,Mohandas Pai & Others,Seed Funding,400000.0
2474,2015-08-03,Connect India,Ecommerce Logistics Provider,Unknown,New Delhi,Aavishkaar,Private Equity,5000000.0
2477,2015-08-03,Oyorooms,Budget Hotel Accommodation Brand,Unknown,New Delhi,"Softbank Group, Greenoaks Capital, Sequoia Capital,\\Xc2\\Xa0 Lightspeed India",Private Equity,100000000.0
2479,2015-08-03,Wizrocket,User Engagment & Analytics Platform,Unknown,Mumbai,"Sequoia Capital, Accel Partners",Private Equity,9600000.0
2480,2015-08-04,Pickingo,On-Demand Delivery Logistics,Unknown,New Delhi,"Orios Venture Partners, Zishaan Hayath",Private Equity,1300000.0
2481,2015-08-05,Grex,Fund Raising Platform For Startups,Unknown,Pune,"Kunal Bajaj, Chandru Badrinarayanan",Seed Funding,650000.0
2482,2015-08-05,Letstransport,Logistics Tech Platform,Unknown,Bangalore,"Rebright Partners, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra",Seed Funding,1300000.0
2483,2015-08-05,Zo Rooms,Online Budget Hotel Chain,Unknown,New Delhi,"Tiger Global Management, Orios Venture Partners",Private Equity,30000000.0
2484,2015-08-05,Doormint,Hyperlocal Handyman Services,Unknown,Mumbai,"Helion Venture Partners, Kalaari Capital",Private Equity,3000000.0
2485,2015-08-05,Nightstay,Hotel Booking App,Unknown,Noida,"Bedrock Ventures, Rajesh Sawhney, Shailesh Singh",Seed Funding,500000.0
2487,2015-08-05,Sunday Realty Solutions,Tech Platform For Property Brokers,Unknown,Mumbai,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan",Seed Funding,785000.0
2489,2015-08-06,Appvigil,App Security\\Xc2\\Xa0 Testing Platform,Unknown,Mumbai,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, Ripplewave",Seed Funding,500000.0
2490,2015-08-06,Practo,Doctor Appointment Booking App,Unknown,Bangalore,"Sofina, Google Capital, Altimeter Capital, Sequoia Capital Global Equities, Yuri Milner, Sequoia Capital, Matrix Partners",Private Equity,90000000.0
2493,2015-08-06,Ketto,Crowd Funding Platform,Unknown,Mumbai,"Chennai Angels, Calcutta Angels, Ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, Letsventure",Seed Funding,700000.0
2494,2015-08-06,Ezetap,Mobile Based Pos Solution,Unknown,Bangalore,"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings",Private Equity,25000000.0
2496,2015-08-07,Carl\\Xe2\\X80\\X99S Jr,Fast Food Chain Franchisee,Unknown,Gurgaon,Youwecan Ventures,Seed Funding,630000.0
2497,2015-08-07,Easyrewardz,Loyalty Programs & Reward Points,Unknown,Mumbai,"Wealth First, Ashneer Grover, Atul Phadnis",Private Equity,500000.0
2501,2015-08-10,Mytaxiindia,Taxi Rental Platform,Unknown,Gurgaon,"Nihon Kotsu,",Private Equity,500000.0
2502,2015-08-10,Esadar,Ecommerce,Unknown,New Delhi,"Neha Vats, Gaurav Vats",Seed Funding,80000.0
2504,2015-08-10,Mypoolin,Mobile Social Network,Unknown,New Delhi,Qprize From Qualcomm Ventures,Seed Funding,250000.0
2505,2015-08-10,Nearbuy (Previously\\Xc2\\Xa0 Groupon India),Hyper-Local Ecommerce,Unknown,New Delhi,Sequoia Capital,Private Equity,16000000.0
2506,2015-08-10,Inkmonk,Online Printing Marketplace,Unknown,Chennai,"Girish Mathrubootham, Phanindra Sama, Vikram Chachra, Others From Letsventure",Seed Funding,250000.0
2507,2015-08-10,Tonetag,Mobile Payment Software Platform,Unknown,Bangalore,Reliance Capital Venture,Private Equity,1000000.0
2508,2015-08-10,Grey Orange,Automated Storage & Warehousing Solution,Unknown,Gurgaon,Tiger Global Management,Private Equity,30000000.0
2509,2015-08-11,Livspace,Home Design & D\\Xc3\\Xa9Cor Solutions,Unknown,Bangalore,"Helion Ventures, Jungle Ventures & Bessemer Venture Partners",Private Equity,8000000.0
2510,2015-08-11,Wow! Momo,Quick Service Restaurant Chain,Unknown,Kolkata,Indian Angel Network,Seed Funding,1600000.0
2511,2015-08-11,Raincan,Subscription Based Online Grocery Platform,Unknown,Pune,Ajeet Khurana & Others,Seed Funding,100000.0
2512,2015-08-11,Allygrow Technologies,Engineering Services Company,Unknown,Mumbai,Zodius Technology Fund,Private Equity,20000000.0
2513,2015-08-11,Infogain,Business And It Consulting,Unknown,New Delhi / Us,Chryscapital,Private Equity,63000000.0
2514,2015-08-12,Oneassist,Credit Card Fraud Protection Solutions,Unknown,Mumbai,"Sequoia Capital, Lightspeed Ventures",Private Equity,7500000.0
2515,2015-08-12,Bigbasket,Online & Mobile Grocery Store,Unknown,Bangalore,Bessemer Venture Partners,Private Equity,50000000.0
2516,2015-08-12,Sheroes,Career Community For Women,Unknown,Noida,"Quintillion Media, 500 Startups",Seed Funding,770000.0
2517,2015-08-12,Scripbox,Mutual Fund Investing Platform,Unknown,Bangalore,"Accel Partners, Deep Kalra, Rajesh Magow, Mohit Gupta, Shamik Sharma",Private Equity,2500000.0
2518,2015-08-13,Etaout,Ecommerce Marketing Software Platform,Unknown,Noida,"Amit Ranjan, Vijay Shekhar Sharma, Kunal Bahl, Girish Mathrubootham &\\Xc2\\Xa0 Group Of Other Angel Investors",Seed Funding,500000.0
2519,2015-08-13,Ifmr Holdings,Financial Inclusion Platform,Unknown,Chennai,"Accion, Leapfrog Investments, Lok Capital",Private Equity,25000000.0
2521,2015-08-13,Agrostar,Mobile Commerce For Farmers,Unknown,Pune,Idg Ventures,Private Equity,4000000.0
2522,2015-08-14,Voxweb,Picture Based Social App,Unknown,Mumbai,Jitendra Gupta & Others,Seed Funding,100000.0
2523,2015-08-14,Trukky,Logistics Service Platform,Unknown,Ahmedabad,"Gujarat Based Angel Investors, Mmy Co-Founder",Seed Funding,245000.0
2525,2015-08-17,Edu4Share,Exam Preparation Platform,Unknown,New Delhi,Nalin Jain & Other Angel Investors,Seed Funding,220000.0
2527,2015-08-17,Sampurnearth,Waste Management Solutions,Unknown,Mumbai,"Intellecap Impact Investment Network, Family Office Fund",Seed Funding,160000.0
2531,2015-08-17,Shadowfax,On-Demand Delivery Service,Unknown,Gurgaon,"Kunal Bahl, Rohit Bansal, Zishaan Hayath, Prashant Malik",Seed Funding,310000.0
2533,2015-08-18,Roposo,Fashion Discovery Platform,Unknown,Gurgaon,Tiger Global,Private Equity,15000000.0
2534,2015-08-18,Intelligencenode,Data Analytics Platform,Unknown,Mumbai,"New Enterprise Associates, Orios Venture Partners",Private Equity,4200000.0
2535,2015-08-18,Hyperverge,Deep Learning Cloud Algorithms,Unknown,Chennai,"Nea, Milliways Ventures, Naya Ventures",Seed Funding,1000000.0
2538,2015-08-18,Zoojoo.Be,Corporate Wellness App,Unknown,Bangalore,Roundglass Partners,Private Equity,1000000.0
2540,2015-08-19,Timesaverz,"Hyperlocal Maintenance, Repair & Cleaning Services",Unknown,Mumbai,Unilazer Ventures,Private Equity,2400000.0
2542,2015-08-19,Mebelkart,Online Furniture Marketplace,Unknown,Bangalore,Askme,Private Equity,20000000.0
2543,2015-08-20,Labsadvisor,Online Diagnostic Tests Marketplace,Unknown,New Delhi,Group Of Angel Investors,Seed Funding,156000.0
2544,2015-08-20,Flatpebble,Online Marketplace For Photographers,Unknown,Hyderabad,Indian Angel Network,Seed Funding,600000.0
2545,2015-08-20,Bluegape.Com,Visual Blogging Platform,Unknown,New Delhi,"Ah! Ventures, Times Internet, Rudy Gopalakrishnan",Seed Funding,600000.0
2546,2015-08-21,Epoise,Job Search Platform,Unknown,Bangalore,"Orios Venture Partners, Amit Ranjan & Others",Seed Funding,500000.0
2547,2015-08-24,Jolly Food Fellow,Food Customer Analytics Platform,Unknown,Ahmedabad,The 1947,Seed Funding,300000.0
2548,2015-08-24,Bookmein,Professional Service Appointment Booking Service,Unknown,Mumbai,Ajmera Group Of Companies,Seed Funding,400000.0
2551,2015-08-25,Qyk App,On-Demand App Based Professional Service Provider,Unknown,Bangalore,"Growx Ventures, Tracxn Labs, Powai Lake Ventures, And Sahil Barua",Private Equity,1000000.0
2552,2015-08-25,Eazydiner,Restaurant Reservation Platform,Unknown,Gurgaon,"Dsg Consumer Partners, Saama Capital",Private Equity,3000000.0
2553,2015-08-25,Revx,Cross-Channel Crm Platform,Unknown,Mumbai,"Norwest Venture Partners, Nexus Venture Partners, Helion Venture Partners, Draper Fisher Jurvetson, Peepul Capital",Private Equity,4000000.0
2554,2015-08-25,Icustommadeit,Professional Custom Creators Marketplace,Unknown,Pune,Group Of Angel Investors,Seed Funding,250000.0
2555,2015-08-26,Pickmylaundry,On-Demand Washing & Dry-Cleaning,Unknown,New Delhi,Ghv Accelerator,Seed Funding,100000.0
2556,2015-08-26,Belita,On-Demand Beauty Service,Unknown,Mumbai,"India Quotient, Letsventure Investors, Lead Angels",Seed Funding,400000.0
2558,2015-08-26,Foodtalkindia,Online Food Community Platform,Unknown,Gurgaon,Undisclosed Investor,Seed Funding,500000.0
2563,2015-08-28,Vyomo,Beauty & Lifestyle Mobile Marketplace,Unknown,Bangalore,Rocket Internet,Private Equity,2000000.0
2564,2015-08-28,Rollmafia,Qsr Restaurant Chain,Unknown,Pune,Equentia Natural Resources,Seed Funding,160000.0
2566,2015-08-31,Dropkaffe,Online Coffee Delivery Platform,Unknown,Bangalore,"Manish Singhal, P39 Capital & Others",Seed Funding,300000.0
2567,2015-08-31,Reverie,Language Localization Cloud Platform,Unknown,Bangalore,"Aspada Investment Advisors, Qualcomm Ventures",Private Equity,4000000.0
2571,2015-07-01,Cloudcherry Analytics,Crm / Analytics Platform,Unknown,Chennai,"The Chennai Angels, Idg Ventures India",Seed Funding,1000000.0
2572,,Handyhome,Hyperlocal Electronics Repair Service,Unknown,Mumbai,"Bessemer Ventures, Kae Capital",Seed Funding,630000.0
2575,2015-07-01,Nxtgen,It Infrastructure & Data Center Services,Unknown,Bangalore,"Ifc, Axon Partners, Intel Capital",Private Equity,13500000.0
2576,2015-07-02,Bankbazaar,Online Financial Services,Unknown,Chennai,"Amazon, Fidelity Growth Partners, Mousse Partners",Private Equity,60000000.0
2577,2015-07-02,Gozoomo,Used Car Marketplace,Unknown,Bangalore,Saif Partners,Private Equity,5000000.0
2578,2015-07-02,Zenatix,Internet Of Things Platform,Unknown,Gurgaon,"Rajan Anandan, Kunal Bahl, Rohit Bansal, Rahul Khanna",Seed Funding,161000.0
2579,2015-07-03,Culturealley,Language Learning App,Unknown,Jaipur,Tiger Global,Private Equity,6500000.0
2581,2015-07-03,Gingercrush,Custom Merchandize Platform,Unknown,Ahmedabad,"Gokul Jaykrishna, Brand Capital",Seed Funding,1000000.0
2583,2015-07-04,Stitchwood,Custom Furniture Marketplace,Unknown,Mumbai,"Powai Lake Ventures, Ajeet Khurana & Others",Seed Funding,395000.0
2586,2015-07-06,Paper Boat,Ethnic Beverages Manufacturer,Unknown,Gurgaon,"Sofina, Hillhouse Capital",Private Equity,30000000.0
2588,2015-07-07,Wudstay,Budget Accommodation Aggregator,Unknown,Gurgaon,"Mangroves Capital Partners, Vikas Saxena",Private Equity,3000000.0
2589,2015-07-07,Liases Foras,Real Estate Rating & Analysis,Unknown,New Delhi,Dmg Information Asia Pacific,Private Equity,5000000.0
2593,2015-07-08,Saavn,Music Streaming App,Unknown,Mumbai,"Tiger Global Management, Bertelsmann India, Steadview Capital, Liberty Media, Mousse Partners, Quilvest",Private Equity,100000000.0
2594,2015-07-08,Flytxt,Big Data & Analytics Platform,Unknown,Mumbai / Global,"Sunrise Capital Gmbh, Big Data Investments B.V",Private Equity,11000000.0
2595,2015-07-08,Axtria,Big Data & Analytics Platform,Unknown,India / Us,"Helion Venture Partners,Amarpreet Sawhney, Deshpande Foundation, Fred Khosravi, Richard S. Braddock",Private Equity,30000000.0
2596,2015-07-08,33Coupons,Coupon Aggregator Platform,Unknown,Kanpur,Not Disclosed,Seed Funding,20000.0
2598,2015-07-08,Hopping Chef,Online Food-Tech Platform,Unknown,Mumbai,Mirah Hospitality,Seed Funding,470000.0
2599,2015-07-08,Collectabillia,Celebrity Fashion Brand,Unknown,Bangalore,Accel Partners,Private Equity,7500000.0
2600,2015-07-08,Lendingkart,Online Finance Lending Platform,Unknown,Ahmedabad,"Saama Capital, Mayfield, Ashvin Chadha, Shailesh Mehta",Private Equity,10000000.0
2601,2015-07-08,Lybrate,Healthcare Mobile App,Unknown,New Delhi,"Tiger Global Management, Ratan Tata, Nexus Venture Partners",Private Equity,10200000.0
2602,2015-07-08,Zoomcar,Self-Driven Vehicle Rental,Unknown,Bangalore,"Sequoia Capital, Empire Angels, Ngp",Private Equity,11000000.0
2613,2015-07-14,Mysmartprice,Online Comparison Engine,Unknown,Hyderabad,"Accel Partners, Helion Venture Partners",Private Equity,10000000.0
2615,2015-07-14,Boxmyspace,Physical Storage Warehouses,Unknown,Mumbai,"Ritesh Veera, Singapore Angel Network, Orios Venture Partners,",Seed Funding,300000.0
2616,2015-07-14,Hackerrank,Tech Recruitment Platform,Unknown,Bangalore,Hr Technology Fund,Private Equity,7500000.0
2617,2015-07-14,Wickedride,Bike Rental Platform,Unknown,Bangalore,Undisclosed,Seed Funding,790000.0
2618,2015-07-14,Wowexpress,Tech Enabled Logistics Platform,Unknown,Mumbai,Tamarind Family Private Trust,Seed Funding,500000.0
2619,2015-07-15,Oyo Rooms,Budget Hotel Accommodation,Unknown,Gurgaon,"Softbank, Sequoia Capital",Private Equity,100000000.0
2620,2015-07-15,Mobikon,Restaurant Customer Engagement Platform,Unknown,Pune,Jungle Ventures,Private Equity,2300000.0
2622,2015-07-15,Roadrunnr,Hyper Local Logistics Platform,Unknown,Bangalore,"Sequoia Capital, Nexus Venture Partners, Blume Ventures",Private Equity,11000000.0
2623,2015-07-16,Ketto,Crowd Funding Platform,Unknown,Mumbai,"Pradyumna Dalmia, Sudhir Rao & Others",Seed Funding,700000.0
2624,2015-07-17,Quikwallet,F&B Sector Mobile Payment Platform,Unknown,Mumbai,Snow Leopard Technology Ventures,Private Equity,1600000.0
2625,2015-07-17,Omnikart,Industrial Supplies B2B Ecommerce,Unknown,Mumbai,"Sumit Gandhi, Manish Gandhi",Seed Funding,100000.0
2626,2015-07-20,Zo Rooms,Online Budget Hotel Chain,Unknown,New Delhi,"Tiger Global, Orios Venture Partners.",Private Equity,15000000.0
2627,2015-07-20,Innoviti,Payment Solutions Platform,Unknown,Bangalore,"Catamaran Ventures, New India Investment Corporation",Private Equity,4850000.0
2629,2015-07-21,Joy By Nature,Organic Food Ecommerce,Unknown,New Delhi,"Mumbai Angels, Vriddhi Fund, Others",Private Equity,1000000.0
2630,2015-07-22,Iqlect,Big Data & Analytics Platform,Unknown,Bangalore,Exfinity Venture Partners,Private Equity,2000000.0
2631,2015-07-22,Degustibus,Fine Dining Restaurant Chain,Unknown,Mumbai,India Value Fund Advisors,Private Equity,30000000.0
2632,2015-07-23,Nestaway,Luxury Rental Homes,Unknown,Bangalore,"Flipkart, Tiger Global",Private Equity,12750000.0
2633,2015-07-23,Mswipe,Mobile Point Of Sale Payment Solution,Unknown,Unknown,"Falcon Edge Capital, Meru Capital, Ola, Matrix Partners, Dsg Consumer Partners, Axis Bank",Private Equity,25000000.0
2634,2015-07-23,Myonsto,Online Grocers,Unknown,Ahmedabad,Jayant Bokadia,Seed Funding,320000.0
2636,2015-07-23,Medgenome,Clinical Genomics Provider,Unknown,Bangalore,Sequoia Capital,Private Equity,20000000.0
2637,2015-07-23,Holidayiq,Travel Information Portal,Unknown,Bangalore,Makemytrip,Private Equity,15000000.0
2638,2015-07-23,Fitternity,Fitness Marketplace,Unknown,Mumbai,Exfinity Venture Partners,Private Equity,1000000.0
2639,2015-07-23,Quikr,Online & Mobile Classified Listings,Unknown,Mumbai,"Ab Kinnevik, Falcon Edge Capital, Coatue Management",Private Equity,60000000.0
2641,2015-07-24,Broex,Real Estate Broker Network App,Unknown,Gurgaon,Lightspeed India,Private Equity,1000000.0
2643,2015-07-25,Credr,Used Bikes Marketplace,Unknown,Mumbai,Fidelity Growth Partners,Private Equity,15000000.0
2644,2015-07-27,Managemyspa,Spa & Salon Management Software,Unknown,Hyderabad,Accel Partners,Private Equity,6000000.0
2648,2015-07-28,Pepperfry,Online Home D\\Xc3\\Xa9Cor Marketplace,Unknown,Mumbai,"Goldman Sachs, Zodius Technology Fund, Bertelsmann India Investments Norwest Venture Partners.",Private Equity,100000000.0
2649,2015-07-28,Flipkart.Com,Online Marketplace,Unknown,Bangalore,Steadview Capital And Existing Investors,Private Equity,700000000.0
